index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
152,Long-tailed Forest Shrew,Endangered Mammals of Africa,Myosorex longicaudatus,NA,Mammals,VU-IUCN: 2008,South Africa
153,Maclaud's Horseshoe Bat,Endangered Mammals of Africa,Rhinolophus maclaudi,NA,Mammals,EN-IUCN: 2008,Guinea
154,Madagascan Flying Fox,Endangered Mammals of Africa,Pteropus rufus,Madagascar Fruit Bat,Mammals,VU-IUCN: 2008,Madagascar
155,Madagascan Fruit Bat,Endangered Mammals of Africa,Eidolon dupreanum,NA,Mammals,VU-IUCN: 2008,Madagascar
156,Madame Berthe's Mouse Lemur,Endangered Mammals of Africa,Microcebus berthae,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Madagascar
157,Malagasy Giant Jumping Rat,Endangered Mammals of Africa,Hypogeomys antimena,"Votsovotsa, Malagasy Giant Rat",Mammals,EN-IUCN: 2008,Madagascar
158,Mandrill,Endangered Mammals of Africa,Mandrillus sphinx,Papio sphinx,Mammals,"VU-IUCN: 2008EN-US FWS: October 19, 1976",Equatorial West Africa
159,Marley's Golden Mole,Endangered Mammals of Africa,Amblysomus marleyi,NA,Mammals,EN-IUCN: 2008,South Africa
160,Mediterranean Horseshoe Bat,Endangered Mammals of Africa,Rhinolophus euryale,NA,Mammals,NT-IUCN: 2008,"Albania, Algeria, Andorra, Armenia, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Croatia, France, Georgia (Eurasia), Gibraltar, Greece, Hungary, Iran, Iraq, Israel, Italy, Jordan, Lebanon, Monaco, Montenegro, Morocco, Portugal, Republic of Macedonia, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Syria, Tunisia, Turkey"
161,Mediterranean Monk Seal,Endangered Mammals of Africa,Monachus monachus,NA,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008","Mediterranean Sea, Northwest African Coast and Black Sea"
162,Mehely's Horseshoe Bat,Endangered Mammals of Africa,Rhinolophus mehelyi,NA,Mammals,VU-IUCN: 2008,"Africa, Asia, Europe, Middle East"
163,Milne-Edward's Sifaka,Endangered Mammals of Africa,Propithecus edwardsi,"Milne-Edwards's Simpona, Propithecus holomelas",Mammals,"EN-US FWS: December 2, 1970EN-IUCN: 2008",Madagascar
164,Milne-Edwards's Sportive Lemur,Endangered Mammals of Africa,Lepilemur edwardsi,Milne-Edwards' Weasel Lemur,Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008",Madagascar
165,Mittermeier's Mouse Lemur,Endangered Mammals of Africa,Microcebus mittermeieri,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
166,Mongoose Lemur,Endangered Mammals of Africa,Eulemur mongoz,NA,Mammals,VU-IUCN: 2008,"Indian Ocean (Comoros), Madagascar"
167,Montane Mouse Shrew,Endangered Mammals of Africa,Myosorex blarina,NA,Mammals,EN-IUCN: 2008,"Democratic Republic of Congo (Zaire), Uganda"
168,Moon Striped Mouse,Endangered Mammals of Africa,Hybomys lunaris,Ruwenzori Hybomys,Mammals,VU-IUCN: 2008,"Democratic Republic of Congo (Zaire), Uganda"
169,Mountain Dwarf Galago,Endangered Mammals of Africa,Galagoides orinus,"Amani Dwarf Galago, Uluguru Bushbaby",Mammals,NT-IUCN: 2008,"Kenya, Tanzania"
170,Mountain Nyala,Endangered Mammals of Africa,Tragelaphus buxtoni,NA,Mammals,EN-IUCN: 2008,Ethiopia
171,Mountain Zebra,Endangered Mammals of Africa,Equus zebra,"Hartmann's Mountain Zebra, Cape Mountain Zebra, Equus zebra zebra",Mammals,"VU-IUCN: 2008EN-US FWS: June 14, 1976","Namibia, South Africa"
172,Mt. Lefo Brush-furred Rat,Endangered Mammals of Africa,Lophuromys eisentrauti,NA,Mammals,EN-IUCN: 2008,Cameroon
173,Nile Lechwe,Endangered Mammals of Africa,Kobus megaceros,Mrs. Gray's Lechwe,Mammals,EN-IUCN: 2008,"Ethiopia, Sudan"
174,Nimba Otter Shrew,Endangered Mammals of Africa,Micropotamogale lamottei,Pygmy Otter-shrew,Mammals,EN-IUCN: 2008,"Cote d'Ivoire, Guinea, Liberia"
175,Northern Rufous Mouse Lemur,Endangered Mammals of Africa,Microcebus tavaratra,"Tavaratra Mouse Lemur, Northern Brown Mouse Lemur",Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Madagascar
176,Northern Sportive Lemur,Endangered Mammals of Africa,Lepilemur septentrionalis,Sahafary Sportive Lemur,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008",Madagascar
177,Nubian Ibex,Endangered Mammals of Africa,Capra nubiana,NA,Mammals,VU-IUCN: 2008,"Egypt, Israel, Jordan, Oman, Saudi Arabia, Sudan, Syria, Yemen"
178,Okapi,Endangered Mammals of Africa,Okapia johnstoni,NA,Mammals,NT-IUCN: 2008,Democratic Republic of Congo (Zaire)
179,Oku Mouse Shrew,Endangered Mammals of Africa,Myosorex okuensis,NA,Mammals,EN-IUCN: 2008,Cameroon
180,Olive Colobus,Endangered Mammals of Africa,Procolobus verus,"Van Beneden's Colobus, Green Colobus",Mammals,NT-IUCN: 2008,"Benin, Cote d'Ivoire, Ghana, Guinea, Liberia, Nigeria, Sierra Leone, Togo"
181,Owl-faced Monkey,Endangered Mammals of Africa,Cercopithecus hamlyni,"Hamlyn's Monkey, Owl-faced Guenon",Mammals,VU-IUCN: 2008,"Democratic Republic of Congo (Zaire), Rwanda"
182,Pemba Flying Fox,Endangered Mammals of Africa,Pteropus voeltzkowi,NA,Mammals,VU-IUCN: 2008,Tanzania
183,Perrier's Sifaka,Endangered Mammals of Africa,Propithecus perrieri,NA,Mammals,"EN-US FWS: December 2, 1970CR-IUCN: 2008",Madagascar
184,Preuss' Red Colobus Monkey,Endangered Mammals of Africa,Procolobus preussi,"Colobus preussi, Colobus badius preussi",Mammals,"EN-US FWS: January 23, 1984CR-IUCN: 2008",Cameroon
185,Preuss's Monkey,Endangered Mammals of Africa,Cercopithecus preussi,Preuss's Guenon,Mammals,EN-IUCN: 2008,"Cameroon, Equatorial Guinea (Bioko), Nigeria"
186,Puku,Endangered Mammals of Africa,Kobus vardonii,NA,Mammals,NT-IUCN: 2008,"Angola, Botswana, Democratic Republic of Congo (Zaire), Malawi, Tanzania, Zambia"
187,Pygmy Chimpanzee,Endangered Mammals of Africa,Pan paniscus,"Bonobo, Dwarf Chimpanzee, Gracile Chimpanzee",Mammals,"EN-US FWS: October 19, 1976EN-IUCN: 2008",Democratic Republic of Congo (Zaire)
188,Pygmy Hippopotamus,Endangered Mammals of Africa,Choeropsis liberiensis,Hexaprotodon liberiensis,Mammals,EN-IUCN: 2008,"Cote d'Ivoire, Guinea, Liberia, Sierra Leone"
189,Pygmy Mouse Lemur,Endangered Mammals of Africa,Microcebus myoxinus,Peters' Mouse Lemur,Mammals,"EN-US FWS: June 2, 1970",Madagascar
190,Randrianasoli's Sportive Lemur,Endangered Mammals of Africa,Lepilemur randrianasoli,Bemaraha Sportive Lemur,Mammals,"EN-US FWS: June 2, 1970",Madagascar
191,Ravelobe Mouse Lemur,Endangered Mammals of Africa,Microcebus ravelobensis,Golden-brown Mouse Lemur,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Madagascar
192,Red Deer,Endangered Mammals of Africa,Cervus elaphus,"7 ssp: Bactrian D. (C. e. bactrianus), Barbary Stag (C. e. barbarus), Corsican Red D. (C. e. corsicanus), Kashmir Stag (C. e. hanglu), McNeill's D. (C. e. macneilii), Shou (C. e. wallichi), Yarkand D. (C. e. yarkandensis)",Mammals,"EN-US FWS: C. e. barbarus, C. e. hanglu, C. e. macneilii, C. e. wacllichi - June 2, 1970; C. e. bactrianus, C. e. corsicanus, C. e. yarkandensis - June 25, 1979","Afghanistan, Algeria, Bhutan, China, France, India, Morocco, Pakistan, Tunisia"
193,Red Ruffed Lemur,Endangered Mammals of Africa,Varecia rubra,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Malagasy Republic (Madagascar)
194,Red-and-gray Mouse Lemur,Endangered Mammals of Africa,Microcebus griseorufus,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
195,Red-bellied Lemur,Endangered Mammals of Africa,Eulemur rubriventer,NA,Mammals,VU-IUCN: 2008,Madagascar
196,Red-eared Nose-spotted Monkey,Endangered Mammals of Africa,Cercopithecus erythrotis,"Red-eared Guenon, Red-eared Monkey, Russet-eared Guenon",Mammals,"EN-US FWS: October 19, 1976VU-IUCN: 2008","Cameroon, Fernando Po, Nigeria"
197,Red-fronted Gazelle,Endangered Mammals of Africa,Eudorcas rufifrons,Gazella rufifrons,Mammals,VU-IUCN: 2008,"Burkina Faso, Cameroon, Central African Republic, Chad, Eritrea, Ethiopia, Mali, Mauritania, Niger, Nigeria, Senegal, Sudan"
198,Red-tailed Sportive Lemur,Endangered Mammals of Africa,Lepilemur ruficaudatus,Red-tailed Weasel Lemur,Mammals,"EN-US FWS: June 2, 1970",Malagasy Republic (Madagascar)
199,Ring-tailed Lemur,Endangered Mammals of Africa,Lemur catta,NA,Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970",Malagasy Republic (Madagascar)
200,Riverine Rabbit,Endangered Mammals of Africa,Bunolagus monticularis,"Lepus monticularis, Bushman Hare",Mammals,CR-IUCN: 2008,"South Africa (Northern Cape Province, Western Cape Province)"
201,Rodrigues Fruit Bat,Endangered Mammals of Africa,Pteropus rodricensis,"Rodrigues Flying Fox, Pteropus mascarinus",Mammals,"EN-US FWS: January 23, 1984CR-IUCN: 2008",Indian Ocean (Rodrigues Island)
202,Rondo Bushbaby,Endangered Mammals of Africa,Galagoides rondoensis,"Galago rondoensis, Rondo Dwarf Galago",Mammals,CR-IUCN: 2008,Tanzania
203,Rough-haired Golden Mole,Endangered Mammals of Africa,Chrysospalax villosus,NA,Mammals,VU-IUCN: 2008,South Africa
204,Rumpi Mouse Shrew,Endangered Mammals of Africa,Myosorex rumpii,NA,Mammals,EN-IUCN: 2008,Cameroon
205,Sahamalaza Sportive Lemur,Endangered Mammals of Africa,Lepilemur sahamalazensis,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
206,Sambar Deer,Endangered Mammals of Africa,Rusa unicolor,Cervus unicolor,Mammals,VU-IUCN: 2008,"Africa, Asia, Australia, Central America, North America (United States)"
207,Sambirano Mouse Lemur,Endangered Mammals of Africa,Microcebus sambiranensis,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Madagascar
208,Sand Cat,Endangered Mammals of Africa,Felis margarita,"Sand Dune Cat, Pakistan Sand Cat (F. m. scheffeli) US FWS",Mammals,"NT-IUCN: 2008EN-US FWS: January 23, 1984","Africa, Asia, Europe, Middle East"
209,Sao Tome Collared Fruit Bat,Endangered Mammals of Africa,Myonycteris brachycephala,NA,Mammals,EN-IUCN: 2008,Sao Tome and Principe
210,Scimitar-horned Oryx,Endangered Mammals of Africa,Oryx dammah,NA,Mammals,"EN-US FWS: September 2, 2005EW-IUCN: 2008",North Africa
211,Scott's Mouse-eared Bat,Endangered Mammals of Africa,Myotis scotti,NA,Mammals,VU-IUCN: 2008,Ethiopia
212,Short-tailed Brush-furred Rat,Endangered Mammals of Africa,Lophuromys brevicaudus,NA,Mammals,NT-IUCN: 2008,Ethiopia
213,Sibree's Dwarf Lemur,Endangered Mammals of Africa,Cheirogaleus sibreei,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
214,Silky Sifaka,Endangered Mammals of Africa,Propithecus candidus,"Propithecus diadema ssp. candidus, Silky Simpona",Mammals,CR-IUCN: 2008,Madagascar
