index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
211,Marbled Cat,Endangered Mammals of Asia,Pardofelis marmorata,Mammals,"EN-US FWS: June 14, 1976VU-IUCN: 2008","Indonesia, Nepal, Southeast Asia",Felis marmorata
212,Markhor,Endangered Mammals of Asia,Capra falconeri,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008","Afghanistan, Pakistan","3 subspecies endangered: Chiltan Markhor or Chiltan Wild Goat (Capra falconeri chiltanensis or Capra aegagrus chialtanensis), Straight-horned Markhor (Capra falconeri jerdoni), Kabul Markhor (Capra falconeri megaceros)"
213,Mediterranean Horseshoe Bat,Endangered Mammals of Asia,Rhinolophus euryale,Mammals,NT-IUCN: 2008,"Albania, Algeria, Andorra, Armenia, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Croatia, France, Georgia (Eurasia), Gibraltar, Greece, Hungary, Iran, Iraq, Israel, Italy, Jordan, Lebanon, Monaco, Montenegro, Morocco, Portugal, Republic of Macedonia, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Syria, Tunisia, Turkey",NA
214,Mediterranean Monk Seal,Endangered Mammals of Asia,Monachus monachus,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008","Mediterranean Sea, Northwest African Coast and Black Sea",NA
215,Mehely's Horseshoe Bat,Endangered Mammals of Asia,Rhinolophus mehelyi,Mammals,VU-IUCN: 2008,"Africa, Asia, Europe, Middle East",NA
216,Mentawai Archipelago Rat,Endangered Mammals of Asia,Rattus lugens,Mammals,EN-IUCN: 2008,Indonesia,NA
217,Mentawai Langur,Endangered Mammals of Asia,Presbytis potenziani,Mammals,EN-IUCN: 2008,Indonesia,"Presbytis chrysogaster, Long-tailed Langur, Mentawai Leaf Monkey"
218,Mentawai Squirrel,Endangered Mammals of Asia,Callosciurus melanogaster,Mammals,VU-IUCN: 2008,Indonesia,NA
219,Menzbier's Marmot,Endangered Mammals of Asia,Marmota menzbieri,Mammals,VU-IUCN: 2008,"Kazakhstan, Kyrgyzstan, Uzbekistan",Marmota menzbieri ssp. zachidovi
220,Mindoro Striped Rat,Endangered Mammals of Asia,Chrotomys mindorensis,Mammals,NT-IUCN: 2008,Philippines,"Lowland Striped Shrew-rat, Lowland Chrotomys"
221,Mongolian Beaver,Endangered Mammals of Asia,Castor fiber birulai,Mammals,"EN-US FWS: June 14, 1976",Mongolia,NA
222,Mongolian Marmot,Endangered Mammals of Asia,Marmota sibirica,Mammals,EN-IUCN: 2008,"China, Mongolia, Russia","Marmota sibirica ssp. caliginosus, Marmota sibirica ssp. dahurica, Siberian Marmot, Tarbagan Marmot"
223,Moss-forest Blossom Bat,Endangered Mammals of Asia,Syconycteris hobbit,Mammals,VU-IUCN: 2008,"Indonesia, Papua New Guinea",NA
224,Mountain Anoa,Endangered Mammals of Asia,Bubalus quarlesi,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Indonesia,NA
225,Namdapha Flying Squirrel,Endangered Mammals of Asia,Biswamoyopterus biswasi,Mammals,CR-IUCN: 2008,India,NA
226,Narwhal,Endangered Mammals of Asia,Monodon monoceros,Mammals,NT-IUCN: 2008,"Alaska, Canada, Germany, Greenland, Iceland, Netherlands (Europe), Norway, Russia, Svalbard and Jan Mayen, United Kingdom",Unicorn Whale
227,Nilgiri Marten,Endangered Mammals of Asia,Martes gwatkinsii,Mammals,VU-IUCN: 2008,India,NA
